firstWord,name
A,澳大利亚牧羊犬
A,阿拉斯加雪橇犬
A,澳大利亚梗
A,爱尔兰红白雪达犬
A,阿富汗猎犬
A,爱尔兰水猎犬
A,爱尔兰峡谷梗
A,阿根廷獒
A,爱尔兰软毛梗
A,爱尔兰猎狼犬
A,爱尔兰梗
A,澳大利亚牧牛犬
A,阿拉拜咬狼犬
A,艾芬品
A,安纳托利亚牧羊犬
A,爱尔兰雪达犬
A,阿拉斯加马拉缪特
B,波利犬
B,伯瑞犬
B,比利牛斯牧羊犬
B,波多罗克梗
B,博美犬
B,边境柯利
B,布鲁塞尔格里芬犬
B,边境梗
B,比特犬
B,贝林顿梗
B,斑点犬
B,比格犬
B,巴仙吉犬
B,巴哥犬
B,巴吉度猎犬
B,比利时特伏丹犬
B,边境牧羊犬
B,波美拉尼亚犬
B,波音达
B,伯尔尼兹山地犬
B,巴西菲勒犬
B,波兰低地牧羊犬
B,波士顿梗
B,北京犬
B,布列塔尼犬
B,比利牛斯山犬
B,冰岛牧羊犬
B,博得猎狐犬
B,比熊
B,北京喇叭狗
B,波尔多犬
B,波兰德斯布比猎犬
B,布鲁克浣熊猎犬
B,博伊金猎犬
B,伯恩山犬
B,比熊犬
C,查理王小猎犬
C,柴犬
C,茶杯犬
C,串串狗
D,大瑞士山地犬
D,德国魏玛犬
D,大獒
D,杜宾犬
D,德国牧羊犬
D,德国宾沙犬
D,蝶耳犬
D,杜高犬
D,斗牛獒犬
D,德国獒犬
D,大白熊犬
D,德国短毛波音达
D,短脚长身梗
D,大黄狗
D,大麦町犬
D,德国刚毛波音达
D,中国沙皮犬
D,墩布狗
D,大丹犬
F,芬兰拉普猎犬
F,法国斗牛犬
F,弗莱特寻回犬
F,芬兰波美拉尼亚丝毛狗
F,法国狼犬
G,刚毛猎狐梗
G,贵妇犬
G,戈登雪达犬
G,古代牧羊犬
G,格力犬
G,高加索犬
G,贵宾犬
G,刚毛指示格里芬犬
G,冠毛犬
H,湖畔梗
H,黑俄罗斯梗
H,哈瓦那犬
H,哈士奇
H,狐狸犬
H,黑背
H,红骨猎浣熊犬
H,荷兰毛狮犬
H,猴头梗
H,蝴蝶犬
H,黄金猎犬
H,惠比特犬
H,黑褐猎浣熊犬
J,卷毛比雄犬
J,杰克罗素梗
J,迦南犬
J,捷克梗
J,迷你狗
J,卷毛寻回犬
J,金毛寻回犬
J,巨型雪纳瑞犬
J,京巴犬
J,卷毛狗
J,金毛犬
K,凯利蓝梗
K,卡斯罗
K,柯利犬
K,凯恩梗
K,可卡獚
K,卡南犬
K,可蒙犬
K,柯基犬
K,库瓦兹犬
L,拉布拉多寻回犬
L,拉萨犬
L,莱州红犬
L,罗威纳犬
L,罗得西亚脊背犬
L,腊肠犬
L,老虎狗
L,灵缇
L,罗秦犬
L,猎水獭犬
L,拉布拉多猎犬
L,拉萨狮子犬
L,猎兔犬
L,鹿犬
M,美国猎狐犬
M,马里努阿犬
M,美国斯塔福郡斗牛梗
M,米格鲁猎兔犬
M,马士提夫獒犬
M,迷你贝吉格里芬凡丁犬
M,墨西哥无毛犬
M,美国恶霸犬
M,美国水猎犬
M,美国可卡犬
M,迷你杜宾
M,墨界黑狼犬
M,美国爱斯基摩犬
M,吉娃娃
M,马尔济斯
N,纽芬兰犬
N,纽波利顿
N,纽波利顿獒犬
N,挪威猎鹿犬
N,那不勒斯獒犬
N,挪威布哈德犬
N,牛头梗
N,挪威梗
N,诺福克梗
N,诺里奇梗
N,挪威伦德猎犬
P,葡萄牙水犬
P,普罗特猎犬
P,帕尔森·罗塞尔梗
P,彭布罗克威尔士柯基
P,平毛寻回犬
P,帕金猎犬
Q,奇努克犬
Q,秋田犬
Q,拳狮犬
Q,切萨皮克海湾寻回犬
R,瑞典柯基犬
R,日本丝毛犬
R,日本尖嘴犬
R,日本狆
S,狮子犬
S,史纳莎
S,史毕诺犬
S,苏格兰猎鹿犬
S,苏塞克斯猎犬
S,萨卢基犬
S,圣伯纳德犬
S,松狮
S,史宾格犬
S,丝毛梗
S,阿尔卑斯山獒
S,苏格兰牧羊犬
S,萨路基猎犬
S,苏俄猎狼犬
S,斯凯梗
S,设得兰群岛牧羊犬
S,圣伯纳犬
S,沙皮犬
S,狮子狗
S,山地犬
S,苏格兰梗
S,斯达福夏牛头梗
S,松鼠犬
S,萨摩耶
T,田野小猎犬
T,泰国脊背犬
T,泰迪犬
T,树丛浣熊猎犬
T,土狗
W,威尔士跳猎犬
W,玩具曼彻斯特犬
W,威尔士梗
W,万能梗
W,威玛犬
W,维希拉猎犬
W,玩具猎狐梗
X,西藏獒犬
X,西帕基犬
X,喜乐蒂牧羊犬
X,谢德兰牧羊犬
X,寻血猎犬
X,西藏猎犬
X,匈牙利牧羊犬
X,新斯科舍猎鸭寻猎犬
X,西部高地白梗
X,西藏梗
X,西伯利亚雪撬犬
X,西班牙小猎犬
X,锡利哈姆梗
X,西施犬
X,熊狮犬
X,小型葡萄牙波登可犬
X,雪纳瑞
Y,英国斗牛犬
Y,约克夏梗
Y,英国赛特犬
Y,英格兰雪达犬
Y,英国玩具犬
Y,意大利灰狗
Y,银狐犬
Y,英国猎浣熊犬
Y,英国跳猎犬
Y,英国可卡犬
Y,意大利灵缇犬
Y,英国猎狐犬
Y,英国蹲猎犬
Y,约瑟犬
Y,伊比赞猎犬
Y,英国玩具梗
Z,藏獒
Z,中亚牧羊犬
Z,中华田园犬
